 Spa.1 Spa.2 Spa.3 Spa.4 Rho  Dev.  M   Sp   Vp   In  
 2.00 10.00 53.00 61.00 17549.72 0.29 0.00 104.19 -13.582 4.916
 2.00 10.00 61.00 46.00 18466.17 0.11 0.00 4.49 34.554 4.916
 2.00 10.00 46.00 54.00 19425.99 0.16 0.00 -71.06 -23.617 4.916
 2.00 10.00 54.00 62.00 11222.50 6.67 0.00 1.61 -8.186 4.916
 2.00 10.00 62.00 47.00 15298.43 2.02 0.00 81.53 26.818 4.916
 2.00 10.00 47.00 55.00 19413.59 0.03 0.00 -18.16 -22.030 4.916
 2.00 10.00 55.00 63.00 3529.77 45.52 0.00 -3.01 -2.430 4.916
 2.00 10.00 63.00 48.00 12641.93 5.52 0.00 -30.63 20.791 4.916
 2.00 10.00 48.00 56.00 18632.97 0.06 0.00 53.78 -19.767 4.916
 2.00 10.00 56.00 64.00 10184.29 0.13 0.00 30.93 -6.622 4.916
 2.00 10.00 49.00 57.00 17975.23 0.35 0.00 -8.08 -17.916 4.932
 3.00 5.00 6.00 8.00 36403.31 3.36 0.00 -31.22 -170.191 0.055
 3.00 5.00 15.00 17.00 13547.19 0.74 0.00 22.26 -36.035 3.510
 3.00 5.00 8.00 10.00 22764.79 0.00 0.00 139.58 -964.612 3.494
 3.00 5.00 10.00 12.00 28401.58 0.57 0.00 -264.59 -401.153 3.494
 3.00 5.00 12.00 14.00 21056.67 0.27 0.00 85.22 -135.187 3.494
 3.00 5.00 14.00 16.00 12599.90 0.35 0.00 34.15 -43.558 3.494
 3.00 5.00 16.00 7.00 47980.27 0.11 0.00 -3.04 6297.797 3.494
 3.00 5.00 7.00 9.00 59220.68 0.39 0.00 -45.54 -4537.579 2.889
 3.00 5.00 9.00 11.00 20172.92 0.41 0.00 91.56 -386.420 2.889
 3.00 5.00 11.00 13.00 26050.87 0.48 0.00 -91.88 -199.606 2.889
 3.00 5.00 13.00 15.00 13147.79 0.15 0.00 -61.63 -50.370 2.889
 3.00 7.00 15.00 19.00 12688.74 0.21 0.00 -57.36 -203.508 4.837
 3.00 7.00 19.00 23.00 8866.06 0.96 0.00 117.27 -56.879 4.837
 3.00 7.00 23.00 27.00 8402.36 0.41 0.00 0.65 -26.952 4.837
 3.00 7.00 27.00 31.00 10230.00 0.23 0.00 16.04 -18.751 4.837
 3.00 7.00 31.00 16.00 10630.75 0.37 0.00 40.06 231.082 4.837
 3.00 7.00 16.00 20.00 12172.88 0.32 0.00 -15.27 -150.769 4.837
 3.00 7.00 20.00 24.00 8213.50 0.59 0.00 -60.76 -43.598 4.837
 3.00 7.00 24.00 28.00 8170.43 0.35 0.00 -40.10 -22.552 4.837
 3.00 7.00 28.00 32.00 8802.58 0.25 0.00 191.51 -14.243 4.837
 3.00 7.00 17.00 21.00 12472.35 0.05 0.00 20.32 -122.172 4.847
 3.00 7.00 21.00 25.00 7849.08 0.48 0.00 13.70 -34.948 4.847
 3.00 7.00 25.00 29.00 8297.78 0.07 0.00 -44.28 -19.894 4.847
 3.00 7.00 29.00 33.00 7707.14 0.14 0.00 84.07 -11.087 4.847
 3.00 7.00 33.00 18.00 8711.09 0.09 0.00 -65.78 128.441 4.847
 3.00 7.00 18.00 22.00 9087.13 0.07 0.00 92.04 -71.551 4.847
 3.00 7.00 22.00 26.00 9785.65 1.01 0.00 -106.59 -36.850 4.847
 3.00 7.00 26.00 30.00 8840.57 1.52 0.00 45.49 -18.495 4.847
 3.00 9.00 29.00 35.00 11351.23 0.48 0.00 92.25 -49.516 6.334
 3.00 9.00 35.00 41.00 10336.28 0.97 0.00 -47.46 -23.731 6.334
 3.00 9.00 41.00 47.00 14509.12 0.13 0.00 44.62 -19.684 6.334
 3.00 9.00 47.00 30.00 10765.47 0.05 0.00 -41.42 75.902 6.334
 3.00 9.00 30.00 36.00 9171.83 0.11 0.00 -115.52 -35.581 6.334
 3.00 9.00 36.00 42.00 12115.72 0.09 0.00 168.82 -25.308 6.334
 3.00 9.00 42.00 48.00 15015.55 0.32 0.00 -63.60 -18.820 6.334
 3.00 9.00 48.00 31.00 8632.06 0.04 0.00 22.15 55.012 6.334
 3.00 9.00 31.00 37.00 5190.75 0.08 0.00 -68.71 -17.990 6.334
 3.00 9.00 37.00 43.00 11185.73 0.06 0.00 47.46 -21.322 6.334
 3.00 9.00 43.00 49.00 15783.57 1.97 0.00 -2.17 -18.329 6.340
 3.00 9.00 49.00 32.00 9926.42 0.26 0.00 136.86 57.439 6.340
 3.00 9.00 32.00 38.00 6273.61 0.86 0.00 -149.73 -19.524 6.340
 3.00 9.00 38.00 44.00 13249.49 0.83 0.00 -3.04 -23.131 6.340
 3.00 9.00 44.00 33.00 10280.64 0.81 0.00 64.64 43.072 6.340
 3.00 9.00 33.00 39.00 8936.62 0.79 0.00 -111.13 -25.048 6.340
 3.00 9.00 39.00 45.00 12059.87 0.74 0.00 -11.63 -19.316 6.340
 3.00 9.00 45.00 34.00 11395.33 0.77 0.00 53.24 43.391 6.340
 3.00 9.00 34.00 40.00 11293.41 0.72 0.00 -6.88 -28.613 6.340
 3.00 9.00 40.00 46.00 11619.76 0.81 0.00 72.34 -17.116 6.340
 3.00 11.00 43.00 51.00 21314.63 0.95 0.00 -50.90 -24.567 3.476
 3.00 11.00 51.00 59.00 19048.41 2.07 0.00 97.47 -12.546 3.476
 3.00 11.00 59.00 44.00 20657.87 0.37 0.00 -65.20 33.562 3.476
 3.00 11.00 44.00 52.00 21017.37 0.41 0.00 29.39 -22.450 3.476
 3.00 11.00 52.00 60.00 14813.36 9.38 0.00 42.87 -9.161 3.476
 3.00 11.00 60.00 45.00 20075.85 3.05 0.00 -130.21 30.410 3.476
 3.00 11.00 45.00 53.00 22652.32 0.31 0.00 9.10 -22.467 3.476
 3.00 11.00 53.00 61.00 20315.83 0.36 0.00 106.00 -11.812 3.476
 3.00 11.00 61.00 46.00 22581.38 0.37 0.00 3.89 31.945 3.476
 3.00 11.00 46.00 54.00 24536.54 0.44 0.00 -71.97 -22.638 3.476
 3.00 11.00 54.00 62.00 135922.33 13.33 0.00 97.53 -74.138 3.464
 3.00 11.00 62.00 47.00 69712.52 10.60 0.00 -13.90 91.932 3.464
 3.00 11.00 47.00 55.00 24428.44 0.28 0.00 -19.51 -20.930 3.464
 3.00 11.00 55.00 63.00 -21510.29 4.05 0.00 -22.35 11.058 3.464
 3.00 11.00 63.00 48.00 5036.92 5.75 0.00 -10.10 6.223 3.464
 3.00 11.00 48.00 56.00 23661.27 0.12 0.00 53.50 -18.923 3.464
 3.00 11.00 56.00 64.00 11419.87 1.84 0.00 29.25 -5.540 3.464
 3.00 11.00 64.00 49.00 19194.39 0.27 0.00 -79.90 22.247 3.464
 3.00 11.00 49.00 57.00 23198.32 0.31 0.00 -7.02 -17.344 3.464
 3.00 11.00 57.00 65.00 9039.54 5.09 0.00 -10.17 -4.142 3.464
 3.00 11.00 50.00 58.00 22418.61 0.80 0.00 35.96 -15.757 3.478
 4.00 6.00 7.00 9.00 22064.55 3.10 0.00 -49.73 -124.658 0.067
 4.00 6.00 16.00 18.00 14524.39 0.27 0.00 -83.90 -48.060 4.366
 4.00 6.00 9.00 11.00 18435.88 0.14 0.00 287.59 -850.027 3.802
 4.00 6.00 11.00 13.00 26771.36 0.21 0.00 -326.29 -411.450 3.802
 4.00 6.00 13.00 15.00 7625.56 0.85 0.00 -64.05 -53.272 3.802
 4.00 6.00 15.00 17.00 14303.52 0.06 0.00 26.35 -53.805 3.802
 4.00 6.00 17.00 8.00 19409.61 0.20 0.00 41.16 2772.186 3.802
 4.00 6.00 8.00 10.00 17517.72 0.20 0.00 91.38 -1766.828 3.802
 4.00 6.00 10.00 12.00 28529.34 0.18 0.00 -126.33 -719.363 3.802
 4.00 6.00 12.00 14.00 21531.63 0.16 0.00 49.34 -217.167 3.802
 4.00 6.00 14.00 16.00 8983.86 0.63 0.00 34.36 -45.305 3.802
 4.00 8.00 16.00 20.00 17140.04 0.57 0.00 -20.68 -257.726 4.535
 4.00 8.00 20.00 24.00 8289.15 2.51 0.00 -54.47 -49.856 4.535
 4.00 8.00 24.00 28.00 7544.48 0.52 0.00 -41.99 -22.689 4.535
 4.00 8.00 28.00 32.00 11749.03 0.49 0.00 186.93 -20.190 4.535
 4.00 8.00 32.00 17.00 13042.99 0.26 0.00 -157.10 265.805 4.535
 4.00 8.00 17.00 21.00 15231.22 0.26 0.00 20.90 -176.864 4.535
 4.00 8.00 21.00 25.00 9096.27 0.44 0.00 13.53 -45.268 4.535
 4.00 8.00 25.00 29.00 10668.42 0.27 0.00 -44.83 -27.608 4.535
 4.00 8.00 29.00 33.00 10546.88 0.38 0.00 79.82 -15.999 4.535
 4.00 8.00 18.00 22.00 11458.11 0.90 0.00 90.57 -104.816 4.526
 4.00 8.00 22.00 26.00 10879.94 3.15 0.00 -105.98 -45.240 4.526
 4.00 8.00 26.00 30.00 10112.24 1.78 0.00 44.65 -22.641 4.526
 4.00 8.00 30.00 34.00 7230.11 0.76 0.00 -36.85 -9.713 4.526
 4.00 8.00 34.00 19.00 10310.45 1.17 0.00 -80.06 141.971 4.526
 4.00 8.00 19.00 23.00 11261.61 1.10 0.00 114.07 -82.809 4.526
 4.00 8.00 23.00 27.00 9175.48 1.30 0.00 0.92 -32.268 4.526
 4.00 8.00 27.00 31.00 13823.04 0.89 0.00 11.19 -27.007 4.526
 4.00 10.00 30.00 36.00 10239.06 2.94 0.00 -120.04 -25.448 3.609
 4.00 10.00 36.00 42.00 10610.53 0.57 0.00 175.38 -13.880 3.609
 4.00 10.00 42.00 48.00 15671.68 1.76 0.00 -63.41 -12.114 3.609
 4.00 10.00 48.00 31.00 8766.56 1.40 0.00 16.58 35.216 3.609
 4.00 10.00 31.00 37.00 5128.56 1.46 0.00 -65.31 -11.336 3.609
 4.00 10.00 37.00 43.00 11573.20 1.41 0.00 50.02 -13.774 3.609
 4.00 10.00 43.00 49.00 16445.83 1.32 0.00 2.99 -11.744 3.609
 4.00 10.00 49.00 32.00 10152.19 1.34 0.00 126.11 36.863 3.609
 4.00 10.00 32.00 38.00 6405.69 1.65 0.00 -145.20 -12.649 3.609
 4.00 10.00 38.00 44.00 13661.05 1.45 0.00 -1.80 -14.837 3.609
 4.00 10.00 44.00 50.00 22537.82 4.36 0.00 42.59 -15.369 3.723
 4.00 10.00 50.00 33.00 12662.69 1.78 0.00 15.60 43.027 3.723
 4.00 10.00 33.00 39.00 8765.27 0.42 0.00 -105.82 -16.018 3.723
 4.00 10.00 39.00 45.00 12108.30 0.46 0.00 -10.27 -12.413 3.723
 4.00 10.00 45.00 34.00 11303.62 0.47 0.00 47.71 27.810 3.723
 4.00 10.00 34.00 40.00 11039.03 0.42 0.00 -1.85 -18.169 3.723
 4.00 10.00 40.00 46.00 11827.34 0.45 0.00 72.93 -11.124 3.723
 4.00 10.00 46.00 35.00 11328.79 0.44 0.00 15.21 25.331 3.723
 4.00 10.00 35.00 41.00 10625.79 0.47 0.00 -49.23 -15.809 3.723
 4.00 10.00 41.00 47.00 14506.36 0.40 0.00 46.11 -12.548 3.723
 4.00 12.00 44.00 52.00 24632.65 3.05 0.00 22.76 -34.478 4.221
 4.00 12.00 52.00 60.00 17824.69 13.65 0.00 46.49 -14.256 4.221
 4.00 12.00 60.00 45.00 23841.83 2.57 0.00 -127.08 47.038 4.221
 4.00 12.00 45.00 53.00 25854.52 1.81 0.00 7.48 -33.537 4.221
 4.00 12.00 53.00 61.00 23126.86 2.02 0.00 106.94 -17.368 4.221
 4.00 12.00 61.00 46.00 25823.43 1.89 0.00 4.31 47.501 4.221
 4.00 12.00 46.00 54.00 28198.53 1.84 0.00 -71.01 -33.963 4.221
 4.00 12.00 54.00 62.00 17013.45 5.75 0.00 0.98 -12.012 4.221
 4.00 12.00 62.00 47.00 22119.39 3.09 0.00 82.19 37.999 4.221
 4.00 12.00 47.00 55.00 27404.02 2.06 0.00 -19.79 -30.703 4.221
 4.00 12.00 55.00 63.00 1335424.38 3.12 0.00 183.52 -894.455 4.254
 4.00 12.00 63.00 48.00 566498.38 3.07 0.00 -216.11 917.374 4.254
 4.00 12.00 48.00 56.00 25601.54 1.21 0.00 53.03 -26.936 4.254
 4.00 12.00 56.00 64.00 25088.76 1.80 0.00 32.39 -15.838 4.254
 4.00 12.00 64.00 49.00 27205.51 1.53 0.00 -82.27 41.273 4.254
 4.00 12.00 49.00 57.00 28313.27 1.38 0.00 -6.78 -27.805 4.254
 4.00 12.00 57.00 65.00 6566.39 3.26 0.00 -8.23 -3.911 4.254
 4.00 12.00 65.00 50.00 20809.12 1.16 0.00 42.75 29.617 4.254
 4.00 12.00 50.00 58.00 28570.91 1.47 0.00 39.12 -26.231 4.254
 4.00 12.00 58.00 66.00 17129.29 1.90 0.00 -94.09 -9.639 4.254
 4.00 12.00 51.00 59.00 23884.52 2.06 0.00 91.58 -20.638 4.276
 5.00 7.00 8.00 10.00 6284.20 3.73 0.00 110.24 -51.392 0.096
 5.00 7.00 17.00 19.00 13207.40 2.51 0.00 -84.22 -42.025 4.199
 5.00 7.00 10.00 12.00 21899.77 0.83 0.00 74.85 -1068.993 4.025
 5.00 7.00 12.00 14.00 18703.24 0.88 0.00 -210.46 -304.320 4.025
 5.00 7.00 14.00 16.00 9396.60 1.15 0.00 34.59 -69.496 4.025
 5.00 7.00 16.00 18.00 12320.74 0.83 0.00 -81.48 -49.066 4.025
 5.00 7.00 18.00 9.00 14000.72 0.86 0.00 20.74 2117.010 4.025
 5.00 7.00 9.00 11.00 12535.45 0.84 0.00 211.35 -1338.515 4.025
 5.00 7.00 11.00 13.00 22278.35 0.84 0.00 -196.67 -594.712 4.025
 5.00 7.00 13.00 15.00 9118.22 1.23 0.00 -63.19 -97.363 4.025
 5.00 7.00 15.00 17.00 11806.01 0.54 0.00 22.23 -63.031 4.025
 5.00 9.00 17.00 21.00 19906.79 0.11 0.00 19.49 -344.184 5.214
 5.00 9.00 21.00 25.00 12637.25 0.17 0.00 14.09 -87.398 5.214
